Lead Number,Conversion Probability,Lead Score
612484,0.9973471258707047,99.73
612679,0.9959188667994493,99.59
644953,0.9958092515106508,99.58
595141,0.9957658866391894,99.58
584160,0.9955778616465307,99.56
581759,0.9955655449198416,99.56
613438,0.9953524284024238,99.54
607283,0.9950767289921508,99.51
592625,0.9950166586867967,99.5
612639,0.9950044858947305,99.5
606508,0.9948515707079283,99.49
633903,0.9948080967478935,99.48
633926,0.9948080967478935,99.48
605310,0.9948080967478935,99.48
633116,0.9948080967478935,99.48
614070,0.9948080967478935,99.48
634040,0.9948080967478935,99.48
612578,0.9948050460052712,99.48
644042,0.9947952161465876,99.48
602404,0.9947040072969398,99.47
633941,0.9946770231331726,99.47
633910,0.9946770231331726,99.47
633962,0.9946770231331726,99.47
614107,0.9946770231331726,99.47
607109,0.9946770231331726,99.47
605319,0.9946770231331726,99.47
632807,0.9946770231331726,99.47
587910,0.9946770231331726,99.47
614096,0.9946770231331726,99.47
604092,0.9946384619137181,99.46
592130,0.994544850513451,99.45
634027,0.9944794114183542,99.45
633956,0.9944794114183542,99.45
614042,0.9944794114183542,99.45
587953,0.9944794114183542,99.45
605216,0.9944794114183542,99.45
605220,0.9944794114183542,99.45
633959,0.9944794114183542,99.45
633922,0.9944794114183542,99.45
633965,0.9944794114183542,99.45
632816,0.9944794114183542,99.45
614103,0.9944794114183542,99.45
605259,0.9944794114183542,99.45
605273,0.9944542984408867,99.45
588094,0.9944526707278959,99.45
605332,0.9944526707278959,99.45
614080,0.9944526707278959,99.45
605278,0.9944526707278959,99.45
614095,0.9944487010288497,99.44
580595,0.9944394308263194,99.44
620989,0.994421006894464,99.44
587880,0.9943012396557219,99.43
628308,0.9942147954179222,99.42
593292,0.9942037613619251,99.42
605320,0.9941703210041818,99.42
588093,0.9941703210041818,99.42
587918,0.9941703210041818,99.42
594486,0.9940663607463548,99.41
614018,0.9940596182976147,99.41
581506,0.9940046839166484,99.4
615878,0.9939886725871337,99.4
618866,0.9939441968369448,99.39
607359,0.993854313781409,99.39
614036,0.993852920947203,99.39
614077,0.993852920947203,99.39
630427,0.993852920947203,99.39
587894,0.993852920947203,99.39
588111,0.993852920947203,99.39
633914,0.993852920947203,99.39
588102,0.993852920947203,99.39
605275,0.993852920947203,99.39
606316,0.993852920947203,99.39
605316,0.993852920947203,99.39
634024,0.993852920947203,99.39
584341,0.9938394240269298,99.38
612637,0.9936593181665468,99.37
597723,0.9936272562886839,99.36
605210,0.9936108011683827,99.36
590527,0.9934379420896149,99.34
643977,0.9933707208910603,99.34
613488,0.9931797343608258,99.32
